                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.621,                  4.783,                 1.8143,                0.77777,                0.12962,                0.15603,                0.09403,                 2.6213,                 4.5523,                 2.1006,             0.00015719,             0.00015719,             0.00015719
                      2,                 1.8535,                 3.0019,                 1.3558,                0.48568,                0.09463,                0.10377,                0.04474,                 2.0499,                 4.0328,                 1.8162,              0.0003124,              0.0003124,              0.0003124
                      3,                 1.4773,                 2.3261,                 1.1422,                0.62075,                 0.2613,                0.15414,                0.07145,                 1.9317,                 3.8768,                 1.6988,             0.00045064,             0.00045064,             0.00045064
                      4,                 1.3608,                 2.0141,                 1.0588,                 0.7921,                0.25868,                 0.2852,                0.15912,                 1.7862,                 3.5375,                 1.4811,             0.00057189,             0.00057189,             0.00057189
                      5,                 1.2976,                 1.8775,                 1.0201,                0.74252,                0.27015,                0.29682,                0.15509,                 1.5609,                 3.4024,                 1.3346,             0.00067617,             0.00067617,             0.00067617
                      6,                  1.254,                 1.7001,                0.99642,                0.74811,                0.27361,                0.25288,                0.15571,                 1.4808,                 3.2412,                 1.3039,             0.00076348,             0.00076348,             0.00076348
                      7,                 1.1879,                 1.5981,                0.98117,                0.78604,                0.28043,                0.25184,                0.16032,                 1.5852,                 3.1548,                  1.338,             0.00083381,             0.00083381,             0.00083381
                      8,                 1.1237,                 1.5322,                0.95795,                 0.5666,                0.40616,                0.20782,                0.11682,                 1.5558,                 3.1709,                 1.3332,             0.00088716,             0.00088716,             0.00088716
                      9,                 1.1672,                 1.4853,                  0.946,                0.57646,                0.43274,                0.20514,                0.11568,                 1.5738,                 3.0837,                 1.3964,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.0995,                  1.443,                0.93825,                0.58508,                0.44633,                 0.2163,                0.12195,                 1.5465,                 2.9205,                 1.3496,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.0923,                 1.3425,                0.95626,                0.61069,                0.40113,                0.25173,                0.15173,                 1.5763,                 3.2725,                 1.3725,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.0891,                 1.2748,                0.95605,                0.61206,                0.46328,                0.24196,                0.13644,                 1.6317,                 2.9161,                 1.3939,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.0518,                 1.2688,                0.94469,                0.61626,                0.35487,                0.20755,                0.12988,                 1.5842,                 2.9254,                  1.378,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.1006,                 1.2478,                0.93058,                0.62804,                0.40678,                 0.2099,                 0.1427,                 1.6287,                  3.028,                 1.4097,             0.00050944,             0.00050944,             0.00050944
                     15,                  1.062,                 1.2351,                 0.9176,                0.61151,                0.38245,                0.24196,                 0.1455,                 1.6446,                 2.8187,                 1.4146,              0.0004387,              0.0004387,              0.0004387
                     16,                  1.022,                 1.1545,                0.92498,                0.60854,                0.41559,                 0.2293,                0.14003,                  1.632,                 2.8779,                 1.4273,             0.00036797,             0.00036797,             0.00036797
                     17,                0.96937,                 1.1536,                0.90739,                0.60256,                0.34694,                0.24665,                 0.1493,                 1.5929,                 2.8697,                 1.4199,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.0042,                 1.1372,                0.90457,                0.59026,                0.43803,                0.26034,                0.16025,                 1.5867,                 2.7966,                 1.4114,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.0018,                 1.1105,                0.91852,                0.74931,                 0.2839,                0.25918,                 0.1591,                  1.591,                 2.7883,                 1.4127,             0.00015576,             0.00015576,             0.00015576
                     20,                0.94797,                  1.106,                0.92121,                0.72831,                0.28653,                0.25845,                0.15786,                 1.5926,                 2.7877,                 1.4119,             8.5026e-05,             8.5026e-05,             8.5026e-05
